y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15
58.133333,0,22,60,3,1.396789,0.183166,0.009305,0.004229,0.09241,0.000002,2.417162,0.090289,14.268031,0,3
14.355556,2,8,6,5,0.27948,0.049945,0.008275,0.001473,0.106214,0.034812,2.490487,0.142212,13.876942,0,8
5.236111,1,20,18,1,0.070442,0.013264,0.003643,0,0.208557,0.057313,2.545471,0.455168,13.493047,0,0
24.044444,0,4,12,0,0.267871,0.044645,0.004858,0.003624,0.136612,0.116179,2.424411,0.289157,13.116978,0,0
6.013889,1,11,6,5,0.714928,0.137046,0.011514,0,0.108487,0.001517,1.954009,0.244547,14.372452,0,2
30.044444,0,36,61,27,2.398474,0.406606,0.012393,0.000297,0.300073,0,1.917813,0.395507,13.966395,0,0
48.622222,1,17,68,6,1.033807,0.175258,0.006122,0.019652,0.24139,0,2.009443,0.008062,13.566613,0,29
71.911111,2,18,115,27,0.069876,0.02323,0.009533,0.012926,0.106134,0.006067,2.081021,0.134435,13.173678,0,4
96.733333,2,5,45,7,0.048184,0.006319,0.007174,0.010796,0.159305,0,1.931061,0.25684,12.78822,0,2
17.733333,1,1,11,9,0.438135,0.076829,0.011757,0.000352,0.117662,0.085821,1.904559,0.197866,12.410938,0,2
5.597222,0,2,0,0,1.151016,0.191836,0.021518,0.004665,0.527735,0.105518,2.006413,0.541432,12.042599,0,0
86.8,0,7,19,11,3.532712,0.409419,0.011411,0.002434,0.369548,0,2.219018,0.109345,11.684048,0,4
47.644444,1,24,28,49,4.733548,0.395888,0.004539,0.001421,0.123508,0,2.514436,0.394439,11.336215,0,0
9.133333,1,22,2,8,1.362963,0.193055,0.001916,0.000219,0.104802,0.003875,2.867183,0.424631,11.000117,0,0
16.377778,0,0,0,1,0.649718,0.064454,0.000986,0.004084,0.161126,0.603286,2.240148,0.279119,8.448253,0,6
43.777778,2,13,2,3,1.306553,0.195363,0.000927,0.004383,0.250692,0.27438,2.696343,0.103434,8.565382,0,18
8.155556,0,3,4,1,0.922266,0.094063,0,0.004009,0.435103,0.089425,3.165796,0.020615,8.709683,0,18
13.155556,4,11,2,5,0.805696,0.090556,0.002208,0.003059,0.290525,0.189188,3.146597,0.143477,8.879829,0,18
4.394444,0,3,0,0,0.059159,0.01295,0.001976,0,0.314269,0.309757,2.823719,0.620541,9.074369,0,0
32.755556,3,7,25,19,1.908428,0.269592,0.008467,0.000531,0.122637,0.001517,1.671416,0.191659,14.510618,0,2
55.688889,0,14,45,9,2.034964,0.266282,0.007682,0.001078,0.194655,0.004659,1.467476,0.665822,14.090807,0,0
155.244444,0,19,115,11,0.967602,0.170777,0.011832,0.008075,0.113424,0.001517,1.418923,0.490268,13.67639,0,0
143.288889,17,26,105,107,2.265212,0.414656,0.013362,0.012096,0.143634,0,1.540518,0.021847,13.267873,0,2
110.688889,1,65,33,29,0.870027,0.165346,0.002756,0.012887,0.302013,0,1.637644,0.176926,12.865817,0,39
