y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17
58.133333,0,22,60,3,1.396789,0.183166,0.009305,0.004229,0.09241,0.000002,2.417162,0.090289,14.268031,0,3,Y,K
14.355556,2,8,6,5,0.27948,0.049945,0.008275,0.001473,0.106214,0.034812,2.490487,0.142212,13.876942,0,8,Y,H
71.911111,2,18,115,27,0.069876,0.02323,0.009533,0.012926,0.106134,0.006067,2.081021,0.134435,13.173678,0,4,Y,H
17.733333,1,1,11,9,0.438135,0.076829,0.011757,0.000352,0.117662,0.085821,1.904559,0.197866,12.410938,0,2,Y,H
86.8,0,7,19,11,3.532712,0.409419,0.011411,0.002434,0.369548,0,2.219018,0.109345,11.684048,0,4,N,J
47.644444,1,24,28,49,4.733548,0.395888,0.004539,0.001421,0.123508,0,2.514436,0.394439,11.336215,0,0,N,H
43.777778,2,13,2,3,1.306553,0.195363,0.000927,0.004383,0.250692,0.27438,2.696343,0.103434,8.565382,0,18,Y,J
13.155556,4,11,2,5,0.805696,0.090556,0.002208,0.003059,0.290525,0.189188,3.146597,0.143477,8.879829,0,18,N,K
4.394444,0,3,0,0,0.059159,0.01295,0.001976,0,0.314269,0.309757,2.823719,0.620541,9.074369,0,0,N,K
32.755556,3,7,25,19,1.908428,0.269592,0.008467,0.000531,0.122637,0.001517,1.671416,0.191659,14.510618,0,2,Y,K
55.688889,0,14,45,9,2.034964,0.266282,0.007682,0.001078,0.194655,0.004659,1.467476,0.665822,14.090807,0,0,N,J
155.244444,0,19,115,11,0.967602,0.170777,0.011832,0.008075,0.113424,0.001517,1.418923,0.490268,13.67639,0,0,Y,J
143.288889,17,26,105,107,2.265212,0.414656,0.013362,0.012096,0.143634,0,1.540518,0.021847,13.267873,0,2,Y,K
69.466667,1,8,3,2,0.246487,0.043705,0.011385,0.010224,0.268974,0.075385,1.442298,0.123997,12.470848,0,3,N,J
72.2,0,8,2,2,0.72351,0.106342,0.010614,0.009925,0.428823,0.127394,1.406618,0.438586,12.08366,0,0,Y,K
89,0,8,5,7,1.256905,0.173565,0.018341,0.011759,0.437239,0,1.809771,0.238479,11.335804,0,4,Y,H
82.8,4,23,13,12,1.03251,0.134962,0.00315,0.008709,0.257801,0,2.161855,0.33638,10.976941,0,0,Y,J
124.933333,3,6,17,21,1.59322,0.248226,0.001866,0.007323,0.216966,0.177066,2.70266,0.162397,9.973547,0,1,Y,K
12.511111,0,1,0,10,0.175896,0.037726,0.002162,0,0.102057,0.58938,0.419816,0.356977,7.770794,0,0,N,H
80.933333,3,1,2,9,2.504593,0.198636,0.002303,0.001673,0.359506,0.230961,1.749712,0.251095,7.865344,0,12,Y,K
93.022222,3,18,33,35,3.382016,0.197995,0.005682,0.012587,0.500607,0,2.241258,0.042582,7.959676,0,24,N,H
11.755556,0,0,1,0,0.009441,0.002135,0.005787,0.000429,0.974949,0,2.439692,0.549047,8.621348,0,0,N,K
39.955556,0,3,2,2,0.004438,0.001479,0.002802,0.004832,0.702352,0.120189,2.127067,0.43024,8.849883,0,0,Y,H
32,0,27,30,3,2.556547,0.271534,0.008845,0,0.062234,0.001517,1.145102,0.233926,14.681577,0,2,N,K
9.266667,0,14,41,2,0.530074,0.060001,0.009696,0.004035,0.215351,0.010617,1.27631,0.29493,14.249264,0,0,N,K
74.244444,2,43,150,2,0.014757,0.002459,0.009919,0.00727,0.208329,0.010855,0.994396,0.695086,13.821516,0,0,Y,K
76.888889,1,27,211,8,0.042008,0.012476,0.019045,0.005409,0.034787,0.010617,0.921237,0.360099,13.398773,0,0,N,K
32.622222,11,18,108,56,3.01292,0.304742,0.011465,0.00209,0.076811,0.0091,1.099333,0.16198,12.981522,0,2,Y,H
72.288889,3,4,3,7,1.31558,0.235406,0.006054,0.012496,0.51595,0.093158,0.965118,0.172507,12.165751,0,26,N,K
12.827778,1,15,7,3,0.904266,0.188128,0.006052,0.002238,0.254675,0,1.108219,0.11341,11.379416,0,6,Y,K
87.555556,10,54,17,25,1.239576,0.151761,0.002496,0.002,0.300499,0,1.877457,0.160746,10.62905,0,16,Y,J
48.133333,5,61,38,34,1.230681,0.274323,0.005901,0.005347,0.375229,0,2.148465,0.112885,10.269835,0,12,Y,H
30.2,2,6,19,15,1.487287,0.148066,0.004972,0.001072,0.187641,0,2.240191,0.191245,9.589323,0,6,N,K
39.622222,0,0,0,0,0.025827,0.00544,0,0.001634,0.286549,0.606766,1.533843,0.898026,8.685246,0,0,N,K
23.222222,1,1,0,0,1.084782,0.102426,0.001935,0.000794,0.088166,0.666771,1.264898,0.666539,8.18041,0,0,N,H
50.022222,8,59,18,26,3.510039,0.252207,0.005618,0.003586,0.136442,0.203287,1.022018,0.166585,7.963159,0,14,N,H
33.511111,4,42,15,26,3.800975,0.360947,0.010126,0.008084,0.219196,0.050726,0.832776,0.108999,7.772046,0,7,Y,J
19.377778,2,13,52,8,6.047694,0.400369,0.009981,0.004467,0.392909,0,1.221271,0.103861,7.475982,0,8,Y,H
